Job,Firm,Functional area,Type
"Generalist role
Coeus Consulting",Coeus Consulting,"Strategy
+2
Project Management
IT Strategy",Job
"Junior Talent Acquisition Specialist
Zanders",Zanders,Recruitment,Job
"Senior Statistical / Data Analyst
Yonder Consulting",Yonder Consulting,Data Science,Job
"Cyber Security Consultant - Manager
ThreeTwoFour",ThreeTwoFour,"Project Management
+1
Cyber Security",Job
"Junior Associate
McKinsey & Company",McKinsey & Company,"Strategy
+1
Digital",Job
"Senior Data Principal
Valcon",Valcon,"Project Management
+4
Data Science
Business Intelligence
Cloud
IT Architecture",Job
"Project Manager - Life Sciences
Genioo",Genioo,Project Management,Job
"Director - Process Technology and Transformation
Capgemini Invent",Capgemini Invent,"Lean & SixSigma
+1
IT Strategy",Job
"Supply Chain Operations Consultant
BearingPoint",BearingPoint,Supply Chain,Job
"Senior Consultant
Enfuse Group",Enfuse Group,"Digital
+3
Innovation
Project Management
Process Management",Job
"Consultant, Business Intelligence | Forensic & Litigation Consulting
FTI Consulting",FTI Consulting,"Forensic & Litigation
+1
Business Intelligence",Job
"Lean consultant
Develop Consulting",Develop Consulting,"Lean & SixSigma
+1
Change Management",Job
"Consultant: Operations Performance
Ayming",Ayming,"Procurement
+1
Supply Chain",Job
"Data Analyst
Digital Power",Digital Power,Data Science,Job
"Consultant
Change Management Group",Change Management Group,"Strategy
+2
Supply Chain
Change Management",Job
"Contracts Manager
Panoptic Consultancy Group",Panoptic Consultancy Group,Project Management,Job
"Networks Consultant
PA Consulting",PA Consulting,Unknown,Job
"Strategy Director
The Upside",The Upside,"Strategy
+2
Marketing
Innovation",Job
"Salesforce System Administrator
Genioo",Genioo,"Data Science
+1
ERP",Job
"Senior Consultant Treasury Technology
Zanders",Zanders,"Corporate Finance
+1
Finance",Job
"Deals | Forensic Accounting - Senior Manager
PwC",PwC,Forensic & Litigation,Job
"Programme Director - Energy & Utilities
Capgemini Invent",Capgemini Invent,"Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma",Job
"Cyber Security Consultant
BearingPoint",BearingPoint,Cyber Security,Job
"Technical Web Analyst
Digital Power",Digital Power,Digital,Job
"Managing Consultant - Networks/Telecoms
PA Consulting",PA Consulting,Unknown,Job
"Senior Consultant - Cyber Security
ThreeTwoFour",ThreeTwoFour,Cyber Security,Job
"Innovation Consultants: All levels
Ayming",Ayming,"Finance
+2
Data Science
Software",Job
"PH-4762; Senior Project Manager - Sales Expansion, EMEA
B2E Consulting",B2E Consulting,Sales,Job
"Senior Consultant, Mergers & Acquisitions
West Monroe",West Monroe,Mergers & Acquisitions,Job
"Transactions Tax, Senior Consultant 
FTI Consulting",FTI Consulting,"Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma",Job
"Business Analytics Engineer
Valcon",Valcon,Data Science,Job
"Director, Research Practice
Yonder Consulting",Yonder Consulting,"Strategy
+3
Management
Project Management
Data Science",Job
"Accounts Receivable Specialist
Yonder Consulting",Yonder Consulting,"Finance
+1
General",Job
"Data Engineer
Digital Power",Digital Power,Data Science,Job
"Management Consultants: All levels
Ayming",Ayming,Change Management,Job
"Manager | Portfolio & Programme Management | Advisory | Dublin/Cork
PwC",PwC,Management,Job
"Business & Technology Consultant
Valcon",Valcon,"Process Management
+2
Cloud
Agile",Job
"Cyber Security Analyst
ThreeTwoFour",ThreeTwoFour,"Risk & Compliance
+2
Cyber Security
IT Architecture",Job
"Tax Depreciation, Senior Consultant
FTI Consulting",FTI Consulting,Finance,Job
